nome,partido_2026,cargo_2026,uf_2026,id_camara,PEC 6x1,Igualdade Salarial,Misoginia (urgência),PL do Veneno,PL da Devastação
Maria do Rosario,PT,Deputada Federal,RS,74398,Sim,Sim,Sim,Não,Não
Reginete Bispo,PT,Deputada Federal,RS,221378,Não votou,Sim,Não votou,—,Não votou
Ana Paula Lima,PT,Deputada Federal,SC,220556,Sim,Sim,Sim,—,Não votou
Angela Amin,PP,Deputada Federal,SC,73696,—,—,—,Sim,—
Carol de Toni,PL,Senadora,SC,204369,Não,Não,Não,Sim,Sim
Daniela Reinehr,PL,Deputada Federal,SC,220557,Não,Sim,Não,—,Não votou
Geovania de Sá,REPUBLICANOS,Deputada Federal,SC,178966,Não votou,Sim,Não,Sim,Sim
Julia Zanatta,PL,Deputada Federal,SC,220559,Não,Não,Não,—,Não votou
Delegada Katarina,PSD,Deputada Federal,SE,220561,Sim,Sim,Sim,—,Sim
Yandra Moura,UNIÃO,Deputada Federal,SE,220564,Não votou,Sim,Sim,—,Não votou
Adriana Ventura,NOVO,Deputada Federal,SP,204528,Não,Não,Não,Sim,Sim
Bruna Furlan,REPUBLICANOS,Deputada Estadual,SP,160589,—,—,—,Não,—
Ely Santos,REPUBLICANOS,Deputada Estadual,SP,218086,Não votou,Não votou,Não votou,Sim,Sim
Erika Hilton,PSOL,Deputada Federal,SP,220645,Sim,Não votou,Sim,—,Não
Juliana Cardoso,PT,Deputada Federal,SP,220640,Sim,Sim,Sim,—,Não
Luiza Erundina,PSOL,Deputada Estadual,SP,74784,Sim,Não votou,Sim,Não,Não votou
Maria Rosas,REPUBLICANOS,Deputada Federal,SP,204540,Sim,Sim,Não,Não votou,Sim
Marina Silva,REDE,Senadora,SP,220637,Sim,Não votou,Sim,—,Não votou
Policial Katia Sastre,PL,Deputada Federal,SP,204529,—,—,—,Sim,—
Professora Luciene Cavalcante,PSOL,Deputada Federal,SP,221338,Sim,Sim,Sim,—,Não
Renata Abreu,PODE,Deputada Federal,SP,178989,Sim,Não votou,Não votou,Não,Não votou
Rosana Valle,PL,Deputada Federal,SP,204525,Sim,Sim,Não,Não,Sim
Sâmia Bomfim,PSOL,Deputada Federal,SP,204535,Sim,Sim,Sim,Não,Não
Sônia Guajajara,PSOL,Deputada Federal,SP,220643,Sim,Não votou,Sim,—,Não votou
Tabata Amaral,PSB,Deputada Federal,SP,204534,Sim,Sim,Sim,Não,Não
Dulce Miranda,UNIÃO,Deputada Estadual,TO,178994,—,—,—,Sim,—
Professora Dorinha,UNIÃO,Governadora,TO,160639,—,—,—,Sim,—
